class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
SSDInceptionV2FeatureExtractor,cartoonify/app/object_detection/models/ssd_inception_v2_feature_extractor.py,4,3,0,1.0,23,2,85,0,42.5,1,0,0
FasterRCNNInceptionResnetV2FeatureExtractor,cartoonify/app/object_detection/models/faster_rcnn_inception_resnet_v2_feature_extractor.py,6,5,0,1.0,34,2,183,0,91.5,1,0,0
SsdInceptionV3FeatureExtractorTest,cartoonify/app/object_detection/models/ssd_inception_v3_feature_extractor_test.py,8,8,9,0.286,18,2,98,0,49.0,1,0,0
FasterRcnnInceptionResnetV2FeatureExtractorTest,cartoonify/app/object_detection/models/faster_rcnn_inception_resnet_v2_feature_extractor_test.py,7,7,0,1.0,14,2,85,0,42.5,1,0,0
EmbeddedSSDMobileNetV1FeatureExtractorTest,cartoonify/app/object_detection/models/embedded_ssd_mobilenet_v1_feature_extractor_test.py,8,8,13,0.19,20,2,94,0,47.0,1,0,0
MultiResolutionFeatureMapGeneratorTest,cartoonify/app/object_detection/models/feature_map_generators_test.py,3,3,0,1.0,16,2,93,0,46.5,1,0,0
GetDepthFunctionTest,cartoonify/app/object_detection/models/feature_map_generators_test.py,2,2,0,1.0,4,2,13,0,6.5,1,0,0
FasterRcnnInceptionV2FeatureExtractorTest,cartoonify/app/object_detection/models/faster_rcnn_inception_v2_feature_extractor_test.py,8,8,0,1.0,15,2,101,0,50.5,1,0,0
FasterRCNNInceptionV2FeatureExtractor,cartoonify/app/object_detection/models/faster_rcnn_inception_v2_feature_extractor.py,5,4,0,1.0,36,2,199,0,99.5,1,0,0
FasterRCNNNASFeatureExtractor,cartoonify/app/object_detection/models/faster_rcnn_nas_feature_extractor.py,6,5,0,1.0,42,2,202,0,101.0,1,0,0
EmbeddedSSDMobileNetV1FeatureExtractor,cartoonify/app/object_detection/models/embedded_ssd_mobilenet_v1_feature_extractor.py,3,2,0,1.0,23,2,97,0,48.5,1,0,0
FasterRcnnNASFeatureExtractorTest,cartoonify/app/object_detection/models/faster_rcnn_nas_feature_extractor_test.py,7,7,0,1.0,14,2,85,0,42.5,1,0,0
FasterRcnnResnetV1FeatureExtractorTest,cartoonify/app/object_detection/models/faster_rcnn_resnet_v1_feature_extractor_test.py,8,8,0,1.0,17,2,112,0,56.0,1,0,0
SsdInceptionV2FeatureExtractorTest,cartoonify/app/object_detection/models/ssd_inception_v2_feature_extractor_test.py,8,8,9,0.286,18,2,98,0,49.0,1,0,0
FloatParser,cartoonify/app/object_detection/metrics/tf_example_parser.py,3,2,0,1.0,5,2,13,0,6.5,1,0,0
StringParser,cartoonify/app/object_detection/metrics/tf_example_parser.py,3,2,0,1.0,4,2,12,0,6.0,1,0,0
Int64Parser,cartoonify/app/object_detection/metrics/tf_example_parser.py,3,2,0,1.0,5,2,13,0,6.5,1,0,0
BoundingBoxParser,cartoonify/app/object_detection/metrics/tf_example_parser.py,3,2,0,1.0,11,2,20,0,10.0,1,0,0
TfExampleDetectionAndGTParser,cartoonify/app/object_detection/metrics/tf_example_parser.py,3,2,0,1.0,12,2,71,0,35.5,1,0,0
OfflineEvalMapCorlocTest,cartoonify/app/object_detection/metrics/offline_eval_map_corloc_test.py,2,2,0,1.0,6,2,35,0,17.5,1,0,0
TfExampleDecoderTest,cartoonify/app/object_detection/metrics/tf_example_parser_test.py,8,8,0,1.0,24,2,160,0,80.0,1,0,0
Gpio,cartoonify/app/gpio/gpio.py,7,6,0,1.0,7,5,59,4,12.6,1,0,0
SketchGizeh,cartoonify/app/sketch/sketchgizeh.py,8,8,0,0.714,55,9,90,11,11.22,1,0,0
DrawingDataset,cartoonify/app/drawing_dataset/drawingdataset.py,10,9,1,0.467,50,7,127,14,20.14,1,0,0
